اتل	Atal	Hero							
اتلس	Atalas	Eighteen							
اتلس	Atlas	Satin							
اتلس	Atlas	An atlas							
اتلسم	Atalasim	Eighteenth							
اتل وال	Atalwāl	(Military) chief of operations.							
اتل واله	Atalwālah	Heroism, Heroic conduct, Valour.							
اتم	Atum	Eighth							
اتم	Atūm	(اټم) See							
اتمانخیل	Atmānkhil	An Afghan tribe.							
اتمانزي	Atnānzay	An Afghan tribe.							
اتمبار	Atambār	A throng, a crowd, crowding.							
اتموسفیر	Atmūsfiyar	Atmosphere							
اتنوګرافی	Atnūgrafī	Ethnography							
اتنیم	Atanīm	Eight and half							
اتڼ	Ataṇ	Afghan national dance							
اتڼچی	Ataṇchī	A person who performs the Afghan national dance.							
اتو	Utū	A flatiron							
اتوار	Itwār	(اتبار) See							
اتوب	Atub	A kind of pudding prepared from flour, sugar, and cooking oil.	A tasteless meal						
اتوم	Atūm	Atom							
اتومات	Atūmat	Automatic							
اتوماتیک	Atūmatīk	Automatic							
اتومي	Atūmī	Atomic							
اته	Atạh	Eight							
اتهام	Ittihām	Accusation, Charge, Indictment.							
اته ویشت	AtạhWīsht	Twenty-eight							
اتي	Ātī	(هاتی) See							
اتیا	Atyā	Eighty							
اتیاونه	Atyāwunah	From the beginning	First	Beginning					
اتیایم	Atyāyạm	Eightieth							
اټک	Aṭak	The Indus	A village on the bank of the Indus river.						
اټکل	Aṭkal	An estimate, Assumption, Guessing.							
اټکلول	Aṭkalawul	To Estimate, to assume, conjecture, to guess.							
اټکلي	Aṭkalī	Conjectural, Estimated, Approximate.							
اټکلیدل	Aṭkalidil	To be estimated.							
اټکۍ	Aṭkay	Hiccup, Hiccough							
اټه	Aṭah	Skein, Hank							
اټۍ	Aṭay	(اټه) See							
اټیران	Aṭirān	Reel, Spool, Bobbin.							
اټیرل	Aṭiral	Overeat, Stuff							
اټیرلی	Aṭiralay	Stuffed							
اټیرن	Aṭiran	Stuffed							
اثاث	As̱ās̱	Furniture							
اثبات	Is̱bāt	Proof							
اثباتول	Is̱bātawul	To prove							
اثباتیدل	Is̱bātidil	To be proved							
اثر	As̱ar	Effect	Trace, Sign, Mark, Indication, Evidence.	(a literary) work					
اثنا	As̱nā	Moment, Interval, Space (of time), During.							
اثیر	As̱īr	Ether							
اجاره	Ijārah	Lease							
اجاره دار	Ijārah Dār	Lease holder							
اجازه	Ijāzah	Permission, Admission							
اجازه نامه	Ijāzah Nāmah	License, Permit							
اجاڼۍ	Ajāṇay	A female who has made a pilgrimage to Mecca.							
اجایي	Ajāyī	Craving of pregnant women for matter containing calcium and sour food.							
اجباری	Ijbārī	Compulsory, Forced, Obligatory.							
اجتماع	Ijtimā ̒	Gathering, Meeting, Assembly, Congregation	Society						
اجتماعي	Ijtimā ̒ī	Social	Sociable, Companionable, Affable						
اجتناب	Ijtināb	Avoidance, Shunning, Abstention, refrainment							
اجتهاد	Ijtihād	Practice of divine science or theology.	Assiduity, Striving hard, Application, Diligence.						
اجداد	Ajdād	Ancestors, Fore fathers (pl. of جد)							
اجدادي	Ajdādī	Ancestral	Traditional						
اجر	Ajir	Reward, a compense, Requital, Retribution.							
اجرا	Ijrā	Execution, Fulfillment, Performance, Carrying out.							
اجرائيه	Ijrāyah	Executive, Administrative.							
اجرام	Ajrām	Celestial or heavenly bodies (pl. of جرم)							
اجرت	Ujrat	Wage, Payment							
اجره	Ujrah	Guestroom	A living room in a mosque						
اجزا	Ajzā	Parts, Components							
اجسام	Ajsām	Bodies, Substances, Matters							
اجغونه	Ujghunah	(اژغونه) See							
اجل	Ajal	The hour of death							
اجلاس	Ijlās	Session, a sitting							
اجلاسیه	Ijlāsyah	Pertaining to a session.							
اجلځی	Ajalżay	Back of the head							
اجماع	Ijmā ̒	Congregation, a religious congress.							
اجمال	Ijmāl	Summary, Synopsis, Brevity							
اجمالی	Ijmālī	Brief, Synoptic							
اجناس	Ajnās	Goods, Wares, Articles, Commodities							
اجنبی	Ajnabī	Stranger, a foreigner							
اجڼه	Ajaṇah	(اجاڼی) See							
اجوت	Ajwat	Joining closely							
اجوتول	Ajwatawul	To join closely							
اجوره	Ajurah	Wage, Payment, Fee							
اجیر	Ajīr	A hired laborer or workman, hired	Mercenary, Freelance						
اچار	Achār	Pickles	A screw driver						
اچول	Achawul	To pour, to throw, to drop.							
اچونی	Achawunạy	A cast-off foetus, an abortive child, born prematurely.							
اچه	Achah	A two-forked wooden pole used as a support.							
اچئ	Achay	A kind of small, short cow.							
اڅکزی	Aṡkzay	The name of an Afghan tribe.							
اڅکیزه	Aṡkīzah	A tent-pole.							
اڅڼل	Aṡaṇal	To arrange, beautify	To make smooth	To weave	To harmonize, to bring to the same tune, tone or pitch.				
اڅا	Aṡā	Thigh-bone, Femur							
اڅه	Aṡah	(هڅه) See							
احادیث	Ahādīs̱	Sayings of Mohammad, the prophet.							
احاطه	Ihātah	Surrounding, Circumambience	A siege	Comprehension, (full) knowledge, Conversance.					
احباب	Ahbāb	Friends, Chums, Intimates.							
احتجاج	Ihtijāj	Protest, Objection	argumentation						
احتراز	Ihtirāz	Avoidance, Shunning, Abstention, Caution, Precaution							
احتراق	Ihtirāq	Burning, Combustion							
احترام	Ihtirām	Respect, Reverence, Esteem, Regard, Honor							
احتفال	Ihtiqāl	Gathering, Meeting, Assembly							
احتکار	Ihtikār	Speculation, Hoarding, Forestalling							
احتکاري	Ihtikārī	Speculative							
احتکاک	Ihtikāk	Friction, Rubbing							
احتلام	Ihtilām	Nocturnal emission							
احتمال	Ihtimāl	Probability, Possibility, Contigency.							
احتمالي	Ihtimālī	Probable, Contigent, Presumptive, Doubtful.							
احتیاج	Ihtyāj	Need, Want, Necessity, Indigence.							
احتیاط	Ihtyāt̤	Caution, Precaution, circumspection, Carefulness.							
احتیاطی	Ihtyāt̤ī	Reserve	Precautionary						
احزاب	Ahzāb	(Political) parties.							
احساس	Ihsās	Feeling, Sensation.							
احساسات	Ihsāsāt	Feelings, Sensations.							
احساساتی	Ihsāsātī	Emotional, Sensational, Sensitive.							
احساسول	Ihsāsawul	To feel							
احسان	Ihsān	Favour, Benefaction.							
احصائيه	Ihṣāyah	Statistics, Numeration							
احضار	Ihz̤ār	Summoning, Calling up.							
احضارول	Ihz̤ārawul	To recall, to summon, to subpoena.							
احکام	Ahkām	Orders, Commandments, Precepts.							
احمدزي	Ahmadzay	Name of an Afghan tribe.							
احمق	Ahmaq	Stupid, Foolish							
احوال	Ahwāl	Situation, State, Condition	News						
احياء	Ihyā	Revival, Vivification							
احياناً	Ihyānan	Occasionally, once in a while, sometimes	If						
اخ	Akh	Ouch, Ah, Oh, Ou.							
اخبار	Akhbār	Newspaper							
اختر	Akhtar	A Muslim religious festival.							
اختراع	Ikhtirā ̒	Invention							
اختری	Akhtaray	Sacrificial (sheep, etc.)							
اختصار	Ikhtiṣār	Abbreviation, Abridgment, Brevity, Conciseness, Synopsis.							
اختصاص	Ikhtiṣāṣ	Appropriation, Allocation							
اختصاصي	Ikhtiṣāṣī	Specialized	Allocated, Appropriated						
اختفا	Ikhtifā	Concealment, Masking, Hiding							
اختلاس	Ikhtilās	Embezzlement, Misappropriation							
اختلاف	Ikhtilāf	Difference, Discrepancy, Disagreement, Discard, Diversity							
اختلال	Ikhtilāl	Disorder, Derangement, Confusion, Indisposition							
اختناق	Ikhtināq	Suffocation, Suppression, Smothering, Stifling, Choke.							
اخته	Akhtah	Engaged, Busy, Occupied	Entangled, Involved						
اخته	Akhtah	Tenderized							
اخته	Akhtah	Castrated							
اختیار	Ikhtyār	Will, Option, Choosing, Wish	Authority, Power of choosing.						
اختیاري	Ikhtyārī	Optional, Voluntary, Arbitrary							
اخراج	Ikhrāj	Expulsion, Ejection, Banishment							
اخښل	Akhṣhal	To knead							
اخښی	Akhṣhay	Brother-in-law							
اخطار	Akht̤ār	Warning, Notice, Reprimand, Admonishment							
اخفأ	Ikhtā	Covering, Concealment, Hiding, Camouflage							
اخلاص	Ikhlāṣ	Sincerity, Candour, Cordiality, Devotion							
اخلاصمن	Ikhlāṣman	Sincere, Devoted							
اخلاق	Akhlāq	Morals, Morality	Ethics						
اخلاقی	Akhlāqī	Moral, Ethical	Righteous, Virtuous, Cultured						
اخلال	Ikhlāl	Disturbance, Disorder, perturbation, commotion							
اخوادیخوا	Akhwādikhwā	Here and there, round, around, this way and that way.							
اخ و ټوخ	Akhuṭūkh	Coughing	Vigour, Strength						
اخ و ډب	Akhuḍab	Skirmish, Clash, Quarrel							
اخوند	Ākhund	A Muslim priest							
اخیړ	Ākhiṛ	Clay for white washing rooms and walls.	A mixture of clay, straw, and water for plastering roofs and walls.						
اخیړل	Ākhiṛil	To plaster, to dob (with clay)							
اخیستل	Akhīstil	Take	Buy	Get	Borrow				
ادات	Adāt	Article	Tool	Instrument					
اداره	Idārah	Office, Bureau	Administration, Management, Direction						
اداري	Idārī	Administrative, Executive, Managerial							
اداکول	Adākawul	To pay, to fulfill, to perform, to discharge	To utter, to enunciate						
ادب	Adab	Politeness, Courtesy, Manners	Literature						
ادبي	Adabī	Literary	Cultured						
ادبیات	Adabyāt	Literature							
ادراک	Idrāk	Perception, Apprehension							
ادرس	Ādras	Address							
ادرم	Adram	Effect, Impact, Influence.							
ادعا	Id ̒ā	Claim, Pretension, Arrogation.							
ادغام	Idghām	Merging	Contraction of two identical letters into one.						
ادکه	Adakah	Mum, Mummy							
ادکی	Adaki, Adakay	Mum							
ادمان	Idmān	Gymnastics, Gymnastic, Exersise.							
ادمخور	Ādamkhūr	cannibal, Man-eater							
ادمخیل	Ādamkhil	Name of an Afghan tribe.							
ادنا	Adnā	The lowest	Worth less, Inferior						
ادنی	Adnā	(ادنا) See							
ادوات	Adwāt	(pl. of ادات)							
ادوبدو	Adū-badū	Swelled, Tumid	Weary, Exhausted, Beat						
ادوم	Adūm	Thigh	Leg						
ادې	Adạy	Mama, Mummy							
ادیان	Adyān	(pl. of دین)							
ادیب	Adīb	Man of letters, Writer							
ادیره	Adīrah	Burial ground, Graveyard, Cemetery							
اډ	Aḍ	Bone (large)							
اډاوڼه	Aḍāṇah	Frame, Frame work							
اډو	Aḍū	Never, not at all							
اډوکی	Aḍūkay	Bone							
اډه	Aḍah	Base	Station, Stand, Stop (bus)						
اډي	Aḍī	Tonsils							
اذان	Āẕān	Prayer call							
اذن	Izin	Permission, Liberty or license to do something.							
اذیت	Aẕyat	Teasing, Vexing, Irritation.							
ار	Ar	Exclamation showing (surprise, humiliation).							
ارابه	Arābah	Volley of gun shots, Salvo							
ارابه	Arābah	Wheel							
اراټ	Arāṭ	(ارهټ) See							
اراده	Irādah	Intention, will							
ارادي	Irādī	Intentional, Deliberate							
اراضي	Araz̤ī	Lands							
ارام	Ārām	Calm, Quite, Silent, Still, Tranquil, Serene.							
ارام سئ	Ārām say	(Stand) at ease!							
ارام چوکی	Ārām chawkay	Arm-chair, Easy chair							
ارامول	Ārāmawul	To calm, to quiet, to tranquilize, to soothe.							
ارامي	Ārāmī	Calm, Calmness, Quietness, Tranquility, Serenity	Peace	Welfare					
ارامي	Arāmī	Illegitimate, Bastard	Uncultured						
ارباب	Arbāb	Landlord, Master	Village chief						
اربکی	Arbakay	A soldier of tribal system.							
اربه	Arbah	(ارابه) See							
ارت	Art	Wide, Spacious, Broad, Open							
ارتاو	Artāw	Throw, Toss, Fling, Hurl							
ارتاوول	Artāwul	To throw, To hurt							
ارتاوی	Artāway	Raisins (red)							
ارتاویز	Artāwiz	Sloppy, Slovenly, Careless	Twaddler, Babbler						
ارتباط	Irtibāt	Relationship, Connection	Communication						
ارتباطی	Irtibātī	Relational, Connective							
ارتجاع	Irtijā ̒	Reaction, Reactionary tendency, Regress							
ارتجاعي	Irtijā ̒ī	Reactionary, Regressive	Elasitc, Flexible						
ارتعاش	Irti ̒āsh	Trembling, Quivering, Shaking, Shivering							
ارتفاع	Irtifā ̒	Height, Altitude, Elevation							
ارتقاء	Irtiqā	Promotion, Progress, Raise							
ارتکاب	Irtikāb	Commission, Perpetration							
ارتوالی	Artwālay	Spaciousness, Wideness, Scope, Broadness							
ارتول	Artawul	To widen, To expand, To enlarge							
ارتول	Artawul	To throw, To hurt							
ارتیدل	Artidil	To become wide							
ارتینه	Artīnah	Wife (used contemptuously)							
ارټ	Arṭ	(ارهټ) See							
ارث	Irs̱	Heritage, Inheritance							
ارثي	Irs̱ī	Hereditary, Congenital							
ارجل	Arjal	Mixed	Hybrid						
ارجلۍ	Arjalay	A kind of oak tree							
ارچه	Archah	A kind of coniferous soft wood tree yielding timber.							
ارخاړی	Arkhāṛay	Diarrhea occurring in sheep during spring time.							
ارخشی	Arkhshay	Phlegm							
ارخښ	Arkhṣh	Asthma, Shortness of breath	Sobbing						
ارداوه	Ardāwah	Mixture of straw, flour and water fed to animals.							
اردلی	Ardalay	Lackey	A house						
اردو	Urdū	Army, the military forces of a nation.							
اردو	Urdū	The Urdu (Language)							
ارړی	Irṛay	A kind of sheep having a long tail.							
ارزاق	Arzāq	Alimentation, Sustenance, Supplies of food							
ارزان	Arzān	Cheap, Inexpensive							
ارزانول	Arzānawul	To cheapen, to make cheap, to lower the price.							
ارزاني	Arzānī	Cheapness							
ارزانیدل	Arzānidil	To become cheap or cheaper, to fall in price.							
ارزښت	Arziṣht	Value, Worth, Merit, Importance.							
ارزښتناک	Arziṣhtnāk	Valuable							
ارزګان	Uruzgān	Uruzgan, a province of Afghanistan.							
ارزیدل	Arzidil	To be worth, to cost.							
ارږمی	Arẓhamay	(ارږی) See							
ارږمۍ	Arẓhamay	Yawn							
ارږی	Arẓhay	Eructation							
ارستو	Arastū	Aristotle							
ارستوکرات	Arastūkirāt	Aristocrat							
ارستوکراسي	Arastūkirāsī	Aristocracy							
ارغ	Argh	Juice, An extracted liquid.							
ارغاړی	Arghāray	Slope, Slant, Inclination							
ارغچله	Arghachalah	Twining							
ارغڅه	Arghaṡah	Goat (black)							
ارغستلي	Arghastilī	Impolite or indecent speech							
ارغشی	Arghashay	Phlegm	The act of clearing the throat						
ارغنج	Arghanj	A kind of plum							
ارغنځه	Arghanżah	A kind of oak tree that does not bear acorns.							
ارغنداو	Arghandāw	Arghandab, a river in the north of Kandahar province.							
ارغوان	Arghawān	Judas-tree, Siliquastrum							
ارغواني	Arghawānī	Purple, Crimson							
ارغو برغو	Arghū Barghū	Morose, Sullen							
ارغوچ	Arghuch	A kind of weed with an edible bulb.							
ارغوچکه	Arghuchakah	Jumping, Leaping							
ارغوش	Arghush	Tan, Dark complexioned, Wheat-brown, Swart, Swarthy							
ارغونجکه	Arghunjakah	A kind of edible weed grown in wheat fields.							
ارغونچکي	Arghunchaki	A kind of children's game							
ارغونچی	Arghunchạy	A braid composed of three strands							
ارغوند	Arghund	A large knuckle-bone	A striker						
ارغونکی	Arghunkay	chive							
ارغه	Arghah	A kind of domestic fast flying pigeon							
ارغی	Arghay	A striker							
ارغۍ	Arghay	Anus, Podex (slang)							
ارقام	Arqām	Figures							
ارکاره	Arkārah	A vessel with spout and a long handle for frying cooking oil, a frying pan	A kind of children's game						
ارکان	Arkān	Pillars							
ارکانی	Arkānay	A kind of melon with thick rind							
ارکسترا	Akistrā	Orchestra							
ارګ	Arg	Citadel, Palace							
ارګانه	Argānah	Food							
ارګجه	Argajah	Mixed, Hybrid, Mingled							
ارګوړي	Argūṛī	A kind of children's game in which they chant a song and ask for rain (during unusually dry years).							
ارم	Arim	An earthly paradise	name of a fabulous garden in Arabia.						
ارمان	Armān	Wish, Desire, Longing							
ارمانجن	Armānjan	Desirous, Longing, Wishing							
ارم توتیا	Aram tutyā	A thornless bush having medicinal qualities and used for the treatment of opthalmia.							
ارمتی	Aramtạy	Fast, Swift							
ارمټه	Aramṭah	A widow	A poor woman						
ارمچک	Aramchak	Rascal, Rogue, Naughty (diminutive of ارامي)							
ارمغان	Armaghān	Present, Gift, Souvenir							
ارمل	Armal	A wild tree resembling the fig tree.							
ارمن	Arman	Pinchers, Tongs, Pincers.							
ارمنی	Armanay	Euphorbia, Spurge	A skin disease						
ارمني	Armanī	The Armenian language.							
ارمونی	Aramūnay	Bastard, Illegitimate child							
ارمونی	Armūnay	A round piece of wood used as roller for moving the upper mill-stone.							
ارمونیه	Armūnyah	Harmonium							
ارن	Aran	Horn							
ارڼۍ	Araṇay	State of excessive desire to use one's endeavor.							
اروا	Arwā	Soul, Spirit							
اروپا	Ūrūpā	Europe							
اروپایي	Ūrūpāyī	European							
اروړ	Aruṛ	Jealousy, Envy	Stuttering						
اروړه	Aruṛah	Mixed, Mingled							
ارومرو	Arūmarū	Must, Without fail, Willy-nilly.							
اره	Arah	Saw							
ارهټ	Arhaṭ	A large well (with a wheel turned by animals and used for irrigation).							
ارهډ	Arhaḍ	Same as (ارهټ)							
ارهر	Arhar	A kind of pea	A plant resembling the hemp						
ارهنډه	Arhanḍah	The castor oil plant							
اری	Aray	A two-humped camel, a Bactrian camel							
ارۍ	Aray	A sickle with teeth.							
اریان	Aryan	Amazed, Astonished, Astounded	Poor, Unable, Too weak.						
اریانول	Aryanawul	Amaze, Astonish, Astound.							
اریاني	Aryanī	Amazement, Astonishment	Poverty, Destitution						
اریانیدل	Aryanidil	To be amazed, to be surprised, to be astonished.							
اریړه	Ariṛah	Myrobalan							
اریی	Iryay	Dried rhubarb							
اړ	Aṛ	Needy, Exigent, Indigent	Obliged	Engaged, Occupied, Busy	Constipated				
اړا	Iṛā	Rude, Impudent, Impolite							
اړا	Iṛā	Slobbery							
اړا	Iṛā	Absent-minded, Pre-occupied							
اړاند	Aṛānd	Engaged, Busy							
اړایستل	Aṛistil	To compel, To oblige, To engage							
اړاو	Aṛāw	A mint-like weed grown in standing water.							
اړتیا	Aṛtya	Need, Want, Necessity.							
اړخ	Aṛkh	Side	Aspect						
اړخی	Aṛkhay	Slope, Incline	Foot of the hill, hill side						
اړخیز	Aṛkhīz	Lateral	Ironical						
اړک	Aṛak	Nosy	Stubborn, Obstinate						
اړکی	Aṛakay	Rung (of a ladder), Rail, Tie							
اړکۍ	Aṛakay	Trap							
اړم	Aṛam	Lever, Crow-bar	Lug						
اړم	Aṛam	Persistent, Dogged							
اړنګ	Aṛang	Doubt, Hesitation, Uncertainty, Suspicion							
اړوب	Aṛūb	A kind of pottage consisting of flour, sugar, water and cooking oil given to parturient women.							
اړوتل	Aṛwatil	To be forced, to be compelled, to be obliged	To be engaged						
اړودوړ	Aṛudūl	Disturbance, Unrest, Disorder, Riot, Turmoil							
اړوښتي	Aṛwuṣhtī	Saving	Variety, Alternation						
اړوک	Aṛūk	Enmity, Spite, Hostility							
اړول	Āṛawul	To turn	Convert, Change, To upset						
اړول	Aṛawul	To compel, To oblige, To restrict, To block							
اړه	Aṛah	Need	Relation, Connection						
اړیدل	Aṛidil	To be compelled	To need						
اړیکی	Aṛīke	Relation							
ازاد	Āzād	Free, Independent	Open, Wide						
ازادول	Āzādawul	To set free, Liberate, Emancipate, Release							
ازادی	Āzādī	Freedom, Liberty, Release.							
ازادیدل	Āzādidil	To become free, To become liberated, To be released							
ازار	Āzār	Teasing, Bother, Vexation							
ازاردبه	Azārdabah	Hydrocephalus of new-born children.							
ازارول	Āzārawul	To tease, to annoy, to vex, to bother.							
ازاریدل	Āzāridil	To be teased, to be bothered, to be vexed.							
ازانګه	Azāngah	Echo, Repercussion							
ازبک	Uzbak	Uzbek							
ازبکي	Uzbakī	Uzbek (language)							
ازدحام	Izdihām	Throng, Crowd							
ازدواج	Izdiwāj	Marriage, Wed-lock							
ازغن	Azghan	Thorny, Prickly, Barbed							
ازغی	Azghay	Thorn							
ازل	Azal	Eternity without beginning							
ازل لیک	Azal līk	Destiny, Fate							
ازمایښت	Āzmāyiṣht	Test, Verification, Check, Experimentation							
ازمایل	Āzmāyil	To test, to check							
ازمویل	Āzmuyil	(ازمایل) See							
ازموینځی	Āzmuyinżay	Laboratory							
ازموینه	Āzmuyinah	Test, Examination							
ازمویلی	Āzmuyilay	Tested, Experimented, Tried							
ازوت	Azūt	Azote							
ازوغ	Azūgh	Provisions, Feed, Fodder, Alimentation							
اژانس	Āzhāns	Agency							
اژدهار	Azhdahār	Dragon							
اساس	Asās	Foundation, Base, Basis							
اساسي	Asāsī	Fundamental, Basic							
اساسنامه	Asāsnāmah	Regulations, Statutes, Charter							
اسامبله	Asāmbilah	Assembly							
اسان	Āsān	Easy							
اسانتیا	Āsāntya	Ease, Easiness, Facility							
اسانول	Āsānawul	To make easy, to facilitate							
اساني	Āsānī	Ease, Facility, Convenience							
اسانیدل	Āsānidil	To become easy							
اسباب	Asbāb	pl. of (سبب) Causes	Tools, Implements, Instruments						
اسبون	Asbūn	A horse-tender							
اسپانیه	Aspānyah	Spain							
اسپه	Āspah	Mare							
اسپه	Aspah	Spotted fever, Tick fever							
استاذ	Ustaẕ	Master, Teacher, Professor, Tutor							
استازی	Astāzay	Messenger, Envoy, Courier							
استاکار	Ustākār	Master, Craftsman							
استبداد	Istibdād	Despotism, Tyranny							
استبدادي	Istibdādī	Despotic							
استثمار	Istis̱mār	Exploitation							
استثمارچی	Istis̱mārchī	Exploiter							
استثمارول	Istis̱mārawul	To exploit							
استثماریدل	Istis̱māridil	To be exploited							
استثناء	Istis̱na ̔	Exception, Exclusion							
استثنایي	Istis̱nayī	Exceptional							
استعاله	Isti ̒ālah	Transformation, Transmutation, Change, Metamorphosis							
استحصال	Istihṣāl	Production, Obtaining, Acquiring							
استحضار	Istihz̤ār	Information, Notice, Summoning							
استحقاق	Istihqāq	Desert, Deservingness	Right	Claiming one's right					
استحکام	Istihkām	Firmness, Solidity, Consolidation, Fortification, Strengthening							
استخاره	Istikhārah	Looking for a good augury (usually by means of bidding beads or by bibliomancy)							
استخبارات	Istikhbārāt	Intelligence service, Secret service							
استخدام	Istikhdām	Employment							
استخراج	Istikhrāj	Extraction, Bringing out	Decipherment	Deduction	Working out				
